Time [s], Analyzer Name, Decoded Protocol Result
4.481012000000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
4.487011687500000,HD44780,Write Command '1' (Clear Display)
4.494011437500000,HD44780,Write Command '2' (Return Home)
4.500011312500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
4.573008750000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.583008250000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.589008000000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.595007750000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
4.601007375000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
4.607007062500000,HD44780,Write Command '1' (Clear Display)
4.614006812500000,HD44780,Write Command '2' (Return Home)
4.620006687500000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
4.693004125000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.703003625000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.709003375000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.715003125000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
4.721002750000000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
4.727002437500000,HD44780,Write Command '1' (Clear Display)
4.734002187500000,HD44780,Write Command '2' (Return Home)
4.740002000000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
4.812999500000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.822999000000000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.828998687500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.834998500000000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
4.840998062500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
4.846997750000000,HD44780,Write Command '1' (Clear Display)
4.853997500000000,HD44780,Write Command '2' (Return Home)
4.859997375000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
4.932994812500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.942994312500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.948994062500000,HD44780,Write Command 0 (Function Set 8-bit; 1 Line; 5x8)
4.954993812500000,HD44780,Write Command 8 (Function Set 8-bit; 2 Lines; 5x8)
4.960993437500000,HD44780,Write Command '8' (Display Off; Cursor Off; Blink Off)
4.966993125000000,HD44780,Write Command '1' (Clear Display)
4.973992875000000,HD44780,Write Command '2' (Return Home)
4.979992750000000,HD44780,Write Command '15' (Display On; Cursor On; Blink On)
